"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2010M02,0112 Liha,109.15
2010M02,01141 Maito,121.43
2010M02,01144 Juustot ja rahkat,113.08
2010M02,01151 Voi,77.07
2010M02,011612 Banaanit,75.27
2010M02,011613 Omenat,102.86
2010M03,0111 Viljatuotteet ja leipa,110.99
2010M03,0112 Liha,108.85
2010M03,01141 Maito,112.76
2010M03,01144 Juustot ja rahkat,112.77
2010M03,01151 Voi,76.9
2010M03,011612 Banaanit,85.2
2010M03,011613 Omenat,108.68
2010M04,0111 Viljatuotteet ja leipa,110.7
2010M04,0112 Liha,109.43
2010M04,01141 Maito,112.83
2010M04,01144 Juustot ja rahkat,112.68
2010M04,01151 Voi,77.22
2010M04,011612 Banaanit,93.52
2010M04,011613 Omenat,106.07
2010M05,0111 Viljatuotteet ja leipa,110.4
2010M05,0112 Liha,109.51
2010M05,01141 Maito,112.68
2010M05,01144 Juustot ja rahkat,112.66
2010M05,01151 Voi,72.63
2010M05,011612 Banaanit,92.07
2010M05,011613 Omenat,110.86
2010M06,0111 Viljatuotteet ja leipa,110.23
2010M06,0112 Liha,109
2010M06,01141 Maito,112.99
2010M06,01144 Juustot ja rahkat,112.74
2010M06,01151 Voi,75.19
2010M06,011612 Banaanit,97.61
2010M06,011613 Omenat,113.94
2010M07,0111 Viljatuotteet ja leipa,110.66
2010M07,0112 Liha,108.79
2010M07,01141 Maito,112.85
2010M07,01144 Juustot ja rahkat,112.97
2010M07,01151 Voi,74.77
2010M07,011612 Banaanit,93.64
2010M07,011613 Omenat,116.93
2010M08,0111 Viljatuotteet ja leipa,110.47
2010M08,0112 Liha,109.27
2010M08,01141 Maito,113.04
2010M08,01144 Juustot ja rahkat,113.17
2010M08,01151 Voi,73.57
2010M08,011612 Banaanit,82.08
2010M08,011613 Omenat,118.87
2010M09,0111 Viljatuotteet ja leipa,110.83
2010M09,0112 Liha,110.98
2010M09,01141 Maito,113.34
2010M09,01144 Juustot ja rahkat,114.79
2010M09,01151 Voi,78.9
2010M09,011612 Banaanit,86.55
2010M09,011613 Omenat,115.58
2010M10,0111 Viljatuotteet ja leipa,111.33
2010M10,0112 Liha,111.33
2010M10,01141 Maito,112.41
2010M10,01144 Juustot ja rahkat,114.91
2010M10,01151 Voi,79.69
2010M10,011612 Banaanit,89.4
2010M10,011613 Omenat,115.78
2010M11,0111 Viljatuotteet ja leipa,111.73
2010M11,0112 Liha,111.59
2010M11,01141 Maito,112.43
2010M11,01144 Juustot ja rahkat,114.86
2010M11,01151 Voi,79.2
2010M11,011612 Banaanit,77.67
2010M11,011613 Omenat,115.45
2010M12,0111 Viljatuotteet ja leipa,111.94
2010M12,0112 Liha,111.95
2010M12,01141 Maito,112.51
2010M12,01144 Juustot ja rahkat,114.87
2010M12,01151 Voi,78.96
2010M12,011612 Banaanit,92.11
2010M12,011613 Omenat,120.01
2011M01,0111 Viljatuotteet ja leipa,112.29
2011M01,0112 Liha,112.46
2011M01,01141 Maito,113.13
2011M01,01144 Juustot ja rahkat,114.87
2011M01,01151 Voi,78.95
2011M01,011612 Banaanit,90.99
2011M01,011613 Omenat,120.31
2011M02,0111 Viljatuotteet ja leipa,115.53
2011M02,0112 Liha,114.41
2011M02,01141 Maito,114.81
2011M02,01144 Juustot ja rahkat,116.78
2011M02,01151 Voi,87.45
2011M02,011612 Banaanit,100.84
2011M02,011613 Omenat,119.71
2011M03,0111 Viljatuotteet ja leipa,115.83
2011M03,0112 Liha,114.59
2011M03,01141 Maito,114.75
2011M03,01144 Juustot ja rahkat,116.74
2011M03,01151 Voi,87.49
2011M03,011612 Banaanit,101.32
2011M03,011613 Omenat,117.43
2011M04,0111 Viljatuotteet ja leipa,115.69
2011M04,0112 Liha,114.41
2011M04,01141 Maito,114.76
2011M04,01144 Juustot ja rahkat,116.09
2011M04,01151 Voi,86.96
2011M04,011612 Banaanit,95.21
2011M04,011613 Omenat,121.76
2011M05,0111 Viljatuotteet ja leipa,116.06
2011M05,0112 Liha,113.7
2011M05,01141 Maito,117.91
2011M05,01144 Juustot ja rahkat,118.08
2011M05,01151 Voi,89.27
2011M05,011612 Banaanit,91.65
2011M05,011613 Omenat,124.37
2011M06,0111 Viljatuotteet ja leipa,116.49
2011M06,0112 Liha,114.09
2011M06,01141 Maito,118.98
2011M06,01144 Juustot ja rahkat,118.25
2011M06,01151 Voi,89.29
2011M06,011612 Banaanit,92.91
2011M06,011613 Omenat,125.25
2011M07,0111 Viljatuotteet ja leipa,116.38
2011M07,0112 Liha,113.71
2011M07,01141 Maito,118.82
2011M07,01144 Juustot ja rahkat,118.68
2011M07,01151 Voi,90.32
2011M07,011612 Banaanit,89.88
2011M07,011613 Omenat,130.19
2011M08,0111 Viljatuotteet ja leipa,116.6
2011M08,0112 Liha,114.12
2011M08,01141 Maito,118.59
2011M08,01144 Juustot ja rahkat,118.67
2011M08,01151 Voi,90.41
2011M08,011612 Banaanit,65.84
2011M08,011613 Omenat,131.39
2011M09,0111 Viljatuotteet ja leipa,116.52
2011M09,0112 Liha,117.49
2011M09,01141 Maito,120.09
2011M09,01144 Juustot ja rahkat,120.75
2011M09,01151 Voi,93.6
2011M09,011612 Banaanit,86.29
2011M09,011613 Omenat,119.69
2011M10,0111 Viljatuotteet ja leipa,116.78
2011M10,0112 Liha,117.66
2011M10,01141 Maito,120.48
2011M10,01144 Juustot ja rahkat,120.6
2011M10,01151 Voi,94
2011M10,011612 Banaanit,85.39
2011M10,011613 Omenat,119.31
2011M11,0111 Viljatuotteet ja leipa,117.1
2011M11,0112 Liha,118.27
2011M11,01141 Maito,120.14
2011M11,01144 Juustot ja rahkat,120.8
2011M11,01151 Voi,104.07
2011M11,011612 Banaanit,79.85
2011M11,011613 Omenat,102.07
2011M12,0111 Viljatuotteet ja leipa,117.5
2011M12,0112 Liha,118.63
2011M12,01141 Maito,120.34
2011M12,01144 Juustot ja rahkat,120.77
2011M12,01151 Voi,115.92
2011M12,011612 Banaanit,87.73
2011M12,011613 Omenat,115.21
2012M01,0111 Viljatuotteet ja leipa,117.37
2012M01,0112 Liha,118.59
2012M01,01141 Maito,121.68
2012M01,01144 Juustot ja rahkat,120.48
2012M01,01151 Voi,113.17
2012M01,011612 Banaanit,86.22
2012M01,011613 Omenat,108.64
2012M02,0111 Viljatuotteet ja leipa,119.07
2012M02,0112 Liha,121.08
2012M02,01141 Maito,121.25
2012M02,01144 Juustot ja rahkat,124.03
2012M02,01151 Voi,116.78
2012M02,011612 Banaanit,88.13
2012M02,011613 Omenat,113.68
2012M03,0111 Viljatuotteet ja leipa,119.13
2012M03,0112 Liha,121.54
2012M03,01141 Maito,121.18
2012M03,01144 Juustot ja rahkat,124.17
2012M03,01151 Voi,116.92
2012M03,011612 Banaanit,89.68
2012M03,011613 Omenat,113.69
2012M04,0111 Viljatuotteet ja leipa,119.57
2012M04,0112 Liha,121.77
2012M04,01141 Maito,121.01
2012M04,01144 Juustot ja rahkat,124.59
2012M04,01151 Voi,117.07
2012M04,011612 Banaanit,85.06
2012M04,011613 Omenat,122.69
2012M05,0111 Viljatuotteet ja leipa,119.78
2012M05,0112 Liha,122.98
2012M05,01141 Maito,122.55
2012M05,01144 Juustot ja rahkat,123.56
2012M05,01151 Voi,116.02
2012M05,011612 Banaanit,84.51
2012M05,011613 Omenat,122.54
2012M06,0111 Viljatuotteet ja leipa,119.8
2012M06,0112 Liha,124.1
2012M06,01141 Maito,122.07
2012M06,01144 Juustot ja rahkat,123.75
2012M06,01151 Voi,114.1
2012M06,011612 Banaanit,87.96
2012M06,011613 Omenat,126.23
2012M07,0111 Viljatuotteet ja leipa,119.56
2012M07,0112 Liha,124.2
2012M07,01141 Maito,121.27
2012M07,01144 Juustot ja rahkat,123.73
2012M07,01151 Voi,117.19
2012M07,011612 Banaanit,91.98
2012M07,011613 Omenat,133.58
2012M08,0111 Viljatuotteet ja leipa,119.95
2012M08,0112 Liha,124.35
2012M08,01141 Maito,122.27
2012M08,01144 Juustot ja rahkat,123.75
2012M08,01151 Voi,116
2012M08,011612 Banaanit,83.52
2012M08,011613 Omenat,137.72
2012M09,0111 Viljatuotteet ja leipa,120.44
2012M09,0112 Liha,126.59
